date,covidCases,BTCUSD
2019-06-09,,7688.0771484
2019-06-10,,8000.3295898
2019-06-11,,7927.7143555
2019-06-12,,8145.8574219
2019-06-13,,8230.9238281
2019-06-14,,8693.8330078
2019-06-15,,8838.375
2019-06-16,,8994.4882812
2019-06-17,,9320.3525391
2019-06-18,,9081.7626953
2019-06-19,,9273.5214844
2019-06-20,,9527.1601562
2019-06-21,,10144.5566406
2019-06-22,,10701.6914062
2019-06-23,,10855.3710938
2019-06-24,,11011.1025391
2019-06-25,,11790.9169922
2019-06-26,,13016.2314453
2019-06-27,,11182.8066406
2019-06-28,,12407.3320312
2019-06-29,,11959.3710938
2019-06-30,,10817.1552734
2019-07-01,,10583.1347656
2019-07-02,,10801.6777344
2019-07-03,,11961.2695312
2019-07-04,,11215.4375
2019-07-05,,10978.4599609
2019-07-06,,11208.5507812
2019-07-07,,11450.8466797
2019-07-08,,12285.9580078
2019-07-09,,12573.8125
2019-07-10,,12156.5126953
2019-07-11,,11358.6621094
2019-07-12,,11815.9863281
2019-07-13,,11392.3789062
2019-07-14,,10256.0585938
2019-07-15,,10895.0898438
2019-07-16,,9477.6416016
2019-07-17,,9693.8027344
2019-07-18,,10666.4824219
2019-07-19,,10530.7324219
2019-07-20,,10767.1396484
2019-07-21,,10599.1054688
2019-07-22,,10343.1064453
2019-07-23,,9900.7675781
2019-07-24,,9811.9257812
2019-07-25,,9911.8417969
2019-07-26,,9870.3037109
2019-07-27,,9477.6777344
2019-07-28,,9552.8603516
2019-07-29,,9519.1455078
2019-07-30,,9607.4238281
2019-07-31,,10085.6279297
2019-08-01,,10399.6689453
2019-08-02,,10518.1748047
2019-08-03,,10821.7265625
2019-08-04,,10970.1845703
2019-08-05,,11805.6533203
2019-08-06,,11478.1689453
2019-08-07,,11941.96875
2019-08-08,,11966.4072266
2019-08-09,,11862.9365234
2019-08-10,,11354.0244141
2019-08-11,,11523.5791016
2019-08-12,,11382.6162109
2019-08-13,,10895.8300781
2019-08-14,,10051.7041016
2019-08-15,,10311.5458984
2019-08-16,,10374.3388672
2019-08-17,,10231.7441406
2019-08-18,,10345.8105469
2019-08-19,,10916.0537109
2019-08-20,,10763.2324219
2019-08-21,,10138.0498047
2019-08-22,,10131.0556641
2019-08-23,,10407.9648438
2019-08-24,,10159.9609375
2019-08-25,,10138.5175781
2019-08-26,,10370.8203125
2019-08-27,,10185.5
2019-08-28,,9754.4228516
2019-08-29,,9510.2001953
2019-08-30,,9598.1738281
2019-08-31,,9630.6640625
2019-09-01,,9757.9707031
2019-09-02,,10346.7607422
2019-09-03,,10623.5400391
2019-09-04,,10594.4931641
2019-09-05,,10575.5332031
2019-09-06,,10353.3027344
2019-09-07,,10517.2548828
2019-09-08,,10441.2763672
2019-09-09,,10334.9746094
2019-09-10,,10115.9755859
2019-09-11,,10178.3720703
2019-09-12,,10410.1269531
2019-09-13,,10360.546875
2019-09-14,,10358.0488281
2019-09-15,,10347.7128906
2019-09-16,,10276.7939453
2019-09-17,,10241.2724609
2019-09-18,,10198.2480469
2019-09-19,,10266.4150391
2019-09-20,,10181.6416016
2019-09-21,,10019.7167969
2019-09-22,,10070.3925781
2019-09-23,,9729.3242188
2019-09-24,,8620.5664062
2019-09-25,,8486.9931641
2019-09-26,,8118.9677734
2019-09-27,,8251.8457031
